<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Comments>;<max_chars>
loading/tip51;After capturing a large number of PPSh-41, the German Waffenamt began conversion of a number to utilizing 9x19mm Parabellum ammunition instead of 7.62x25mm TT. These weapons would be designated M.P. 41 (r), and use magazines from the M.P. 38 / M.P. 40.;;;;;;;;;;;;;;;;;;;;;
loading/tip52;After capturing a large number of PPSh-41, the German Waffenamt approved of repurposing the weapon for domestic use. These would be designated M.P. 717 (r), and be given 7.63x25mm Mauser ammunition as it was deemed compatible with 7.62x25mm TT.;;;;;;;;;;;;;;;;;;;;;
loading/tip53;"The name 'Gepard', is attributed to two German self-propelled anti-aircraft guns; the FlakPz Gepard 1, and the Flak.Pz. 38 (t). There is also a Soviet experimental multi-calibre PDW using the same name.";;;;;;;;;;;;;;;;;;;;;
loading/tip54;The Flare Projector 45 was a mass-produced bolt-action pistol developed to be air dropped en masse to Allied resistance fighters during WWII. British Bomber Command refused to divert bombers for deployment, but a number were dropped in Greece.;;;;;;;;;;;;;;;;;;;;;
loading/tip55;Prior to the Tripartite Pact, Italy, like Germany, was aligned with China during the Japanese invasion. Italian support ended however, when China enacted sanctions toward Italy for their invasion of Abyssinia.;;;;;;;;;;;;;;;;;;;;;
loading/tip56;When China refused to sign the Anti-Comintern pact, Japan tried to spin their invasion as an 'Anti-Communist' war, bribing Germany to accept that conclusion. Germany refused, concerned that China might join forces with the Soviet Union, defeating the purpose of the pact.;;;;;;;;;;;;;;;;;;;;;
loading/tip57;Following the assassination of Austrian chancellor Engelbert Dolfuß by Nazi agents in 1934, Italy moved four divisions to the Italian-Austrian border in an attempt to prevent Germany taking Austria. These actions would ultimately delay Germany until 1938 when Austria was annexed.;;;;;;;;;;;;;;;;;;;;;
loading/tip58;Germany re-militarized the Rhineland on 7 Mar 1936, hoping that the League of Nations would be preoccupied with other matters, such as the Italian war in Abyssinia. No retaliation was undertaken by the League.;;;;;;;;;;;;;;;;;;;;;
loading/tip59;In order to fight in the Korean War without engaging in an official war with the United States, China formed the People's Volunteer Army, which consisted entirely of troops and equipment transferred from the People's Liberation Army.;;;;;;;;;;;;;;;;;;;;;
loading/tip60;"Order 227 was the famous ""Not a step back"" order issued by Stalin in 1942. The order was aimed at officers in an attempt to prevent unnecessary withdrawals of land (Stopping the ""There is ground to spare"" saying.), but modern media portrays this as ""any retreat should be punished"".";;;;;;;;;;;;;;;;;;;;;
loading/tip61;"In the 1980s, IMI developed the ""Eagle"" - a magazine-fed pistol chambered in .357 Magnum. The weapon didn't take off, but formed the basis for the famous Desert Eagle.";;;;;;;;;;;;;;;;;;;;;
loading/tip62;The MP 2 is the German variant of the famous IMI UZI. The Bundeswehr adopted the weapon in 1959, and remained in service until being phased out in the early 2000s. The MP 2 had a wooden stock, with the MP 2 A1 having a folding stock. Both models used 32-rnd magazines.;;;;;;;;;;;;;;;;;;;;;
loading/tip63;Over 1,600 German scientists, engineers, and technicians were employed by US organisations after Germany's capitulation. Originally meant to help against Japanese forces in Operation Overcast, Operation Paperclip saw many working for NASA and other organisations.;;;;;;;;;;;;;;;;;;;;;
loading/tip64;Wake Island was manned by only 500 men, six 5in guns, 12 AA guns, and 12 F4F Wildcats when Japan attacked in 1941. They managed to hold out for two weeks, sinking two destroyers, a submarine, downing 10 aircraft, and causing over 500 casualties for only 100 of their own.;;;;;;;;;;;;;;;;;;;;;
loading/tip65;On 9 Dec 1945, General George S. Patton would be severely wounded when his limousine driver sped past a railroad crossing and crashed into an Army truck. The crash broke his neck, paralyzing him, and he would succumb to his wounds 12 days later.;;;;;;;;;;;;;;;;;;;;;
loading/tip66;The Hanyu Pinyin system of Chinese transliteration was originally created by the PRC to raise literacy rates, but was soon adopted as the official romanization of Chinese, replacing the old Wade-Giles system. Taiwan only recently began adopting Pinyin, although it is not yet official.;;;;;;;;;;;;;;;;;;;;;
loading/tip67;The German East Asia Squadron had attempted to raid the presumed undefended Falkland Islands for coal stocks during their run to Germany in 1914. However, they had met the Royal Navy's 5th Cruiser Squadron and a pair of Battlecruisers in open battle and were destroyed. ;;;;;;;;;;;;;;;;;;;;;
loading/tip68;Malaysia Airlines Flight 17 was shot down over eastern Ukraine by a Russian-operated 9K37 Buk surface-to-air missile system of the 53rd Anti-Aircraft Missile Brigade in Jul 2014, near the beginning of the War in Donbass. All 298 people aboard the Boeing 777 died.;;;;;;;;;;;;;;;;;;;;;
loading/tip69;In Jan 2020, Ukrainian International Airlines Flight 752 was shot down by a 9K330 Tor-M1 of the Iranian Revolutionary Guard Corps shortly after take-off from Tehran. All 176 on board the Boeing 737 died, and Iran indicted various individuals responsible for the shootdown.;;;;;;;;;;;;;;;;;;;;;
loading/tip70;"The term ""Nazi"" was originally a derogatory word for peasant and later became a pejorative for National-Socialists, similar to ""Sozi"" (Sozialist, Sozialdemokrat) and ""Kozi"" (Kommunist). It would later be adopted as the colloquial name for the Nationalsozialistische Deutsche Arbeiterpartei.";;;;;;;;;;;;;;;;;;;;;
loading/tip71;Black Buck 1 to Black Buck 7 were codes given to extreme-range bombing raids carried out by the Royal Air Force during the 1982 Falklands War. These raids had minimal strategic impact and have often been cited as a way for the Royal Air Force to avoid further budget cuts.;;;;;;;;;;;;;;;;;;;;;
loading/tip72;The 5.56mm T65 Rifle is a Taiwanese assault rifle developed from the earlier Type 64 prototype. The weapon was originally meant to be an AR-15 clone, but due to unknown reasons (possibly outdated industry), the simpler internals from the AR-18 were utilized instead.;;;;;;;;;;;;;;;;;;;;;
loading/tip73;On 6 Jun 1944, 101 AB, 2-506 PIR, Easy Co, performed the Brécourt Manor Assault, where 1LT Winters led Easy Co to attack a number of howitzers defended by fixed defences. The assault became a textbook example, and is still used in training materiel to this day.;;;;;;;;;;;;;;;;;;;;;
loading/tip74;2LT Speirs of 101 AB, 2-506 PIR, Dog Co, was rumoured to have killed 6 German prisoners shortly after securing St. Marie-du-Mont in Jun 1944. Allegations were largely ignored due to officer shortages. The rumours were later confirmed by Speirs himself.;;;;;;;;;;;;;;;;;;;;;
loading/tip75;In Jan 1945 during the Battle of Foy, 1LT Speirs of 101 AB, 2-506 PIR, Easy Co (who had just replaced 1LT Dike) ran through the German-controlled town to contact Item Co at the other side. After which, he ran back through the town and rejoined Easy Company.;;;;;;;;;;;;;;;;;;;;;
loading/tip76;Panzerbrigade 150 was formed for Unternehmen Greif, utilizing American-speaking soldiers and equipment, it was tasked with infiltrating U.S. lines. The unit was formed with 1,000 Wehrmacht men, 500 Waffen SS men, 800 Luftwaffe men, and 200 Kriegsmarine men.;;;;;;;;;;;;;;;;;;;;;
loading/tip77;As part of Unternehmen Greif during the Ardennes offensive, Panzerbrigade 150 was to be equipped with captured Allied uniforms and equipment to cause havoc behind enemy lines. This would be scaled back to simply dressing Panthers and Stu.G. IIIs as American vehicles.;;;;;;;;;;;;;;;;;;;;;
loading/tip78;The Type 88 is a towed version of the Chinese 105mm Type 81 Tank Gun, placing the gun on a modified Type 86 Anti-Tank Gun carriage. Based on available evidence, it is only used for testing and was used as recently as 2018 to test gun-launched ATGMs.;;;;;;;;;;;;;;;;;;;;;
loading/tip79;On 26 Feb 1991, two Warrior IFVs of the 3rd Bat., Royal Regiment of Fusiliers were destroyed by friendly fire from two USAF A-10s, killing 9 and wounding 11. The exact cause was never established, but it likely came down to incorrect information sent to the pilots.;;;;;;;;;;;;;;;;;;;;;
loading/tip80;The concept of an Infantry Gun is to provide similar ordnance to that of a Howitzer, but at a shorter range and via direct (or partially indirect) line of sight. Many such weapons would later receive HEAT cartridges to deal with armoured targets.;;;;;;;;;;;;;;;;;;;;;
loading/tip81;On two separate occasions in Jan 1991, soldiers of the USMC 1st Force Reconnaissance Company were mistakenly strafed by USAF A-10s. Fortunately, neither incident resulted in any casualties.;;;;;;;;;;;;;;;;;;;;;
loading/tip82;Kill boxes are defined battlefield sectors in which attacks on surface targets are, in simplest terms, automatically authorized and do not require coordination with higher command or other branches. They were first employed in the Gulf War and continue to be used by the US military.;;;;;;;;;;;;;;;;;;;;;
loading/tip83;"The M16 ""bouncing betty"" anti-personnel mine was developed from the German S.Mi. 35. These mines were capable of launching into the air before detonating, increasing the area of effect over conventional anti-personnel mines.";;;;;;;;;;;;;;;;;;;;;
loading/tip84;During WWI and WWII, Germany experimented with a number of grenade styles. Stick grenades were most famous, but there was also egg- and disk-shaped designs. A more unconventional form was the Kugelhandgranate - a stick that detached a ball shaped grenade.;;;;;;;;;;;;;;;;;;;;;
loading/tip85;The French FAMAS assault rifle is one of very few modern weapons capable of firing rifle grenades, specifically the AC 58 and APAV 40.;;;;;;;;;;;;;;;;;;;;;
loading/tip86;The famous German Sti.Gr. 24 (stick hand grenade) was developed from earlier WWI designs, and would see further improvements in the 1930s and early 1940s. Numerous foreign deriatives would also be developed, including the Chinese Type 67.;;;;;;;;;;;;;;;;;;;;;
loading/tip87;The South African High Velocity Missile (SAHV-3) was converted to an IR missile by utilising off-the-shelf V3S Snake (Python) AAM seeker heads. First being fired in 1997, this missile was considered successful and forms part of the Umkhonto family of missiles. ;;;;;;;;;;;;;;;;;;;;;
loading/tip88;Üzeir Abduramanov was awarded Hero of the Soviet Union for his role in crossing the Sozh River in early 1944. After the war, he was forcibly deported to Uzbekistan by the USSR based solely on his Crimean Tartar ethnicity, despite being a decorated veteran.;;;;;;;;;;;;;;;;;;;;;
loading/tip89;The first permanent military force of South Africa was the Union Defence Force (UDF). This existed from 1912 to 1 Dec 1957, when the Defence Act of 1957 passed, changing its name to the South African Defence Force (SADF).;;;;;;;;;;;;;;;;;;;;;
loading/tip90;The South African Defence Force (SADF) changed its name to the South African National Defence Force (SANDF) on 27 Apr 1994, which amalgamated both the SADF and former rebel forces such as the uMkhonto we Sizwe of the ANC, and the APLA of the Pan-African Congress.;;;;;;;;;;;;;;;;;;;;;
loading/tip91;Oskar Schindler would use his enamel factory to save 1,200 Jews (originally as slave labour) from the Holocaust, spending all his wealth on bribes, the factory, and his workers. His efforts prevented their deaths in concentration camps by moving them to Brněnec in 1944.;;;;;;;;;;;;;;;;;;;;;
loading/tip92;On 14 Oct 1968, the Swiss military would accidentally hit Malbun—Liechtenstein's ski-resort village. The only recorded damages were a number of chairs belonging to a restaurant.;;;;;;;;;;;;;;;;;;;;;
loading/tip93;In the late night of 26 Aug 1976, the Swiss military would take a wrong turn and end up at Iradug, 500 meters inside Liechtenstein. Local Liechtensteiners are said to have offered drinks to Swiss military personnel.;;;;;;;;;;;;;;;;;;;;;
loading/tip94;On 5 Dec 1985, the Swiss military would lose track of a number of anti-aircraft missiles fired during a training exercise amid a storm. The missiles would land in Liechtenstein, and cause a forest fire. Compensation for damages was paid by the Swiss government.;;;;;;;;;;;;;;;;;;;;;
loading/tip95;On 13 Oct 1992, Swiss Army recruits would unknowingly cross the Liechtenstein border into Triesenberg and set up an observation post. Command staff didn't notice that Triesenberg wasn't Swiss territory. An apology was made to the Liechtenstein government.;;;;;;;;;;;;;;;;;;;;;
loading/tip96;On 3 Mar 2007, 171 Swiss soldiers would mistakenly travel over 2 kilometres into Liechtenstein territory amid inclement weather. Liechtenstein was informed after the incident, and both sides agreed to disregard the incursion.;;;;;;;;;;;;;;;;;;;;;
loading/tip97;From 13 to 17 Sep 1961, Katangese forces performed a siege against UN forces in the Congo. 155 Irish soldiers would fend off over 3000 Katangese forces for 4 days, before running out of supplies and surrendering. In 2016, a citation was awarded to the unit for its heroic efforts.;;;;;;;;;;;;;;;;;;;;;
loading/tip98;On 21 May 2020, while performing a patient transfer to Dublin Hospital, an Irish Air Corps AW139 would lose its door over Moyle Park in Clondalkin, Dublin. The door would wedge itself in the ground, and be returned to the Air Corps by the Gardaí. No injuries were reported.;;;;;;;;;;;;;;;;;;;;;
loading/tip99;Chiang Wei-kuo, adoptive son of Chiang Kai-shek, studied at the Kriegsschule and later became a Wehrmacht officer, even participating in the Anschluß in 1938. He was then promoted to Lieutenant of a Panzer unit, but was recalled to China prior to the invasion of Poland.;;;;;;;;;;;;;;;;;;;;;
loading/tip100;Unit 731 was a research unit within the Imperial Japanese Army, known for human experimentation. Its victims were subject to chemical, biological, conventional explosive, and bladed weapons, as well as exploratory surgeries.;;;;;;;;;;;;;;;;;;;;;
loading/tip101;Mao Anying, eldest son of Mao Zedong, was killed by a raid of B-26 Invaders of the 3rd B.G. in Korea. According to some, he was cooking food during daytime, which was strictly forbidden, resulting in his encampment being spotted by U.S. forces, although this is highly disputed.;;;;;;;;;;;;;;;;;;;;;
loading/tip102;Desmond Doss received the Medal of Honor for evacuating roughly 75 injured soldiers to aid stations during the Battle of Okinawa in 1945.;;;;;;;;;;;;;;;;;;;;;
loading/tip103;"Maj. Gen. Curtis LeMay is often quoted ""I suppose if I had lost the war, I would have been tried as a war criminal"", referencing his involvement in bombing of Japanese cities during World War II.";;;;;;;;;;;;;;;;;;;;;
loading/tip104;"The U.S. Military reuses M-designations for different categories. This has resulted in some amusing duplicates; the M1 Abrams, M1 Rifle, M1 Carbine, M1 37mm Gun, M1 57mm Gun, M1 Flamethrower, and even the M1 Pick Mattock and M1 Spare Parts Envelope.";;;;;;;;;;;;;;;;;;;;;
loading/tip105;After the M16 Rifle was introduced, the M14 was seen as a better choice by many servicemen. The reliability and weaker cartridge were seen as the main concerns, but even after the M16A1 fixed a number of issues the cartridge was still seen as underpowered.;;;;;;;;;;;;;;;;;;;;;
loading/tip106;ARVN forces during the Viet Nam War were often seen using surplus U.S. equipment, including equipment last issued during WWII and Korea. M1 Helmets, M1 Rifles, M1 Carbines, and other pieces of uniform and equipment were used to great effect.;;;;;;;;;;;;;;;;;;;;;
loading/tip107;"After Germany surrendered during WWII, U.S. soldiers were soon to be redeployed to Japan. A ""points"" system was employed in order to honourable discharge personnel but didn't take into account time, as many Normandy veterans didn't have enough points to return home.";;;;;;;;;;;;;;;;;;;;;
loading/tip108;The Australian Defence Force replaced its Lithgow made L1A1 rifle with a domestic Steyr AUG copy known as the F88. The weapon has seen a number of variants, including the overhauled F90.;;;;;;;;;;;;;;;;;;;;;
loading/tip109;The Australian Defence Force manufactures the vast majority of its own equipment, obtaining licences for domestic production instead of relying on imports. Only the most expensive equipment like jets and ships are imported.;;;;;;;;;;;;;;;;;;;;;
loading/tip110;In early Sep 1939, Poland would execute between 600 and 800 of its own people in retaliation for ethnically German Polish militia firing upon retreating Polish forces. Of those killed however, only 100 to 300 were ethnically German.;;;;;;;;;;;;;;;;;;;;;
loading/tip111;NATO forces use colours to denote what side forces are on. Blue is allied, red is enemy, green is independent, yellow is civilian, and grey is unknown. A blue-on-blue incident is when allied forces fire upon other allied forces.;;;;;;;;;;;;;;;;;;;;;
loading/tip112;"American media pushed the ""Red Scare"" communist threat during the early Cold War, focusing around paranoia and scare tactics. This slowed in the 1950s however, especially after a court ruling deeming a ban on communist politicians and military members unconstitutional.";;;;;;;;;;;;;;;;;;;;;
loading/tip113;"During WWII, an Australian cockatoo was famous for warning about incoming aircraft. It would fly to the anti-aircraft battery, screaming ""Get under the sink, Harry!"" to its owner.";;;;;;;;;;;;;;;;;;;;;
loading/tip114;Operation Market was plan to paradrop British and American forces at a number of crucial bridges in the Netherlands and Belgium. Operation Garden was the armoured spearhead that would attempt to connect the bridges. Both ultimately failed in their objectives.;;;;;;;;;;;;;;;;;;;;;
loading/tip115;During the War in the Pacific, Allied forces believed that Japanese forces would pretend to surrender, only for them to commit a suicide attack. While there are accounts of this happening, the vast majority of surrender attempts were genuine, with the danger being overblown.;;;;;;;;;;;;;;;;;;;;;
loading/tip116;On 15 Feb 1898, the armored cruiser USS Maine suffered an explosion in the Havana Harbor in Cuba. The cause remains unknown, but US forces saw this as an attack. This converted the Cuban War for Independence into the American-Spanish war.;;;;;;;;;;;;;;;;;;;;;
