"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"loading_bg/login_layer_i1";"F-84B-26-RE Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 雷\t电\t喷\t气";"F-84 サンダージェット";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 썬더제트";"F-84 Thunderjet";"F-84 Thunderjet";"F-84 雷\t霆\t噴\t射";"F-84 “雷\t电\t喷\t气”";"F-84 Thunderjet";;
"loading_bg/login_layer_j1";"Bf 109 E-3 vs Spitfire Mk. IIb";"Bf 109 vs Spitfire";"Bf 109 vs Spitfire";"Bf 109 vs Spitfire";"Bf 109 vs Spitfire";"Bf 109 vs Spitfire";"Bf 109 kontra Spitfire";"Bf 109 vs Spitfire";"Bf 109 vs Spitfire";"Bf 109 大\t战 喷\t火";"Bf 109 vs スピットファイア";"Bf 109 vs Spitfire";"Bf 109 vs Spitfire";"Bf 109 vs Spitfire";"Bf 109 vs. Spitfire";"Bf 109 vs 스핏파이어";"Bf 109 vs Spitfire";"Bf 109 vs Spitfire";"Bf 109 vs 噴\t火";"Bf 109 大\t战 “喷\t火”";"Bf 109 vs Spitfire";;
"loading_bg/login_layer_k1";"F6F-5 Hellcat vs A6M3";"F6F Hellcat";"F6F Hellcat";"F6F Hellcat";"F6F Hellcat";"F6F Hellcat";"F6F Hellcat";"F6F Hellcat";"F6F Hellcat";"F6F 地\t狱\t猫";"F6F ヘルキャット";"F6F Hellcat";"F6F Hellcat";"F6F Hellcat";"F6F Hellcat";"F6F 헬캣";"F6F Hellcat";"F6F Hellcat";"F6F 地\t獄\t貓";"F6F “地\t狱\t猫”";"F6F Hellcat";;
"loading_bg/login_layer_l1";"Me 410 A-1 vs Beaufighter Mk. VIc";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410";"Me 410\t“大\t黄\t蜂”";"Me 410";;
"loading_bg/login_layer_m1";"Tiger E (früh) and Fw 190 D-9 vs T-34-85";"Tiger H1";"Tiger H1";"Tiger H1";"Tiger H1";"Tiger H1";"Tiger H1";"Tiger H1";"Tiger H1";"虎\t式\t坦\t克 H1 型";"ティーガー\tI H1型";"Tiger H1";"Tiger H1";"Tiger H1";"Tiger H1";"티거 H1";"Tiger H1";"Tiger H1";"虎\t式\t坦\t克 H1 型";"虎\t式\t坦\t克 H1 型";"Tiger H1";;
"loading_bg/login_layer_n1";"T-34-85 vs Panther D";"T-34-85 vs Panther";"T-34-85 vs Panther";"T-34-85 vs Panther";"T-34-85 vs Panther";"Т-34-85 vs Panther";"T-34-85 kontra Panther";"T-34-85 vs Panther";"T-34-85 vs Panther";"T-34-85 大\t战 豹\t式\t坦\t克";"T-34-85 vs パンター";"T-34-85 vs Panther";"T-34-85 vs Panther";"T-34-85 vs Panther";"T-34-85 vs. Panther";"T-34-85 vs 판터";"Т-34-85 vs Panther";"T-34-85 vs Panther";"T-34-85 vs 豹\t式";"T-34-85 大\t战 豹\t式\t坦\t克";"T-34-85 vs Panther";;
"loading_bg/login_layer_o1";"F7F-1 Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F 虎\t猫";"F7F タイガーキャット";"F7F Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F Tigercat";"F7F 타이거캣";"F7F Tigercat";"F7F Tigercat";"F7F 虎\t猫";"F7F “虎\t猫”";"F7F Tigercat";;
"loading_bg/login_layer_p1";"Ho 229 V3";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";"Ho 229";;
"loading_bg/login_layer_q1";"Canberra B. Mk. 2";"Canberra";"Canberra";"Canberra";"Canberra";"Canberra";"Canberra";"Canberra";"Canberra";"堪\t培\t拉";"キャンベラ";"Canberra";"Canberra";"Canberra";"Canberra";"캔버라";"Canberra";"Canberra";"堪\t培\t拉";"“堪\t培\t拉”";"Canberra";;
"loading_bg/login_layer_s1";"T-34-85 and La-5-41";"T-34-85";"T-34-85";"T-34-85";"T-34-85";"Т-34-85";"T-34-85";"T-34-85";"T-34-85";"T-34-85";"T-34-85";"T-34-85";"T-34-85";"T-34-85";"T-34-85";"T-34-85";"Т-34-85";"T-34-85";"T-34-85";"T-34-85";"T-34-85";;
"loading_bg/login_layer_t1";"USSR Ground Forces";"Forces Terrestres soviétiques";"Forze Corazzate URSS";"Sowjetische Landstreitkräfte";"Fuerzas terrestres soviéticas";"Бронетехника СССР";"Siły lądowe ZSRR";"SSSR Pozemní síly";"SSCB Kara Kuvvetleri";"苏\t联\t陆\t军";"ソ\t連の\t地上車両";"Forças Terrestres Soviéticas";"Бронетехніка СРСР";"USSR Ground Forces";"Szovjet szárazföldi erők";"소련 지상군";"Сухапутныя войскі СССР";"USSR Ground Forces";"蘇\t聯\t陸\t軍";"S 系\t（地\t面\t载\t具）";"Lục quân USSR";;
"loading_bg/login_layer_u1";"M18 GMC vs Me 410 B-1";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18 GMC";"M18\t“地\t狱\t猫”";"M18 GMC";;
"loading_bg/login_layer_v1";"Ju 87 D-3 vs Il-2M (1944)";"Ju 87";"Ju-87";"Ju 87";"Ju-87";"Ju-87";"Ju-87";"Ju-87";"Ju-87";"Ju 87";"Ju-87";"Ju-87";"Ju-87";"Ju-87";"Ju 87";"Ju-87";"Ju-87";"Ju-87";"Ju87";"Ju-87";"Ju-87";;
"loading_bg/login_layer_w1";"T-34-85 and Il-2M (NS-37) vs Pz.Kpfw. IV F2";"Т-34-85 vs Pz.IV";"T-34-85 vs Pz.IV";"T-34-85 vs Pz.IV";"T-34-85 vs Pz.IV";"Т-34-85 vs Pz.IV";"T-34-85 kontra Panzer IV";"T-34-85 vs Pz.IV";"T-34-85 vs Pz.IV";"T-34-85 大\t战 四\t号\t坦\t克";"T-34-85 vs IV\t号戦車";"T-34-85 vs Pz.IV";"T-34-85 vs Pz.IV";"T-34-85 vs Pz.IV";"T-34-85 vs. Pz.IV";"T-34-85 vs 4호 전차";"Т-34-85 vs Pz.IV";"T-34-85 vs Pz.IV";"T-34-85 vs 四\t號\t坦\t克";"T-34-85 大\t战 四\t号\t坦\t克";"T-34-85 vs Pz.IV";;
"loading_bg/login_layer_x1";"IS-6 and DB-3B";"IS-6";"IS-6";"IS-6";"IS-6";"ИС-6";"IS-6";"IS-6";"IS-6";"IS-6";"IS-6";"IS-6";"ІС-6";"IS-6";"JSz-6";"IS-6";"ІС-6";"IS-6";"IS-6";"IS-6";"IS-6";;
"loading_bg/login_bkg_1_63_nolayers_jp";"Ki 87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";"Ki-87";;
"loading_bg/login_bkg_1_63_nolayers_uk";"Swingfire and Brigand B. Mk. 1";"Swingfire";"Swingfire";"Swingfire";"Swingfire";"Swingfire";"Swingfire";"Swingfire";"Swingfire";"旋\t火";"スウィングファイア";"Swingfire";"Swingfire";"Swingfire";"Swingfire";"스윙파이어";"Swingfire";"Swingfire";"旋\t火";"“旋\t火”";"Swingfire";;
"loading_bg/login_bkg_1_63_nolayers_us";"M163 and F-9J";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163";"M163 VADS";"M163";"M163";;
"loading_bg/login_bkg_1_67_nolayers_jp";"Ki 67-I Kō vs P-47N-15-RE";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"四\t式\t重\t爆\t击\t机";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"Ki-67";"四\t式\t重\t爆";"四\t式\t重\t爆\t击\t机\t“飞\t龙”";"Ki-67";;
"loading_bg/login_bkg_1_67_nolayers_main";"Centurion, Mk. I* and Typhoon Mk. Ib (Mar 1943) vs Panther F";"Centurion Mk 1";"Centurion Mk.I";"Centurion Mk.I";"Centurión Mk 1";"Centurion Mk.I";"Centurion Mk.I";"Centurion Mk.I";"Centurion Mk.I";"百\t夫\t长 Mk 1";"センチュリオン Mk.I";"Centurion Mk.I";"Centurion Mk.I";"Centurion Mk.I";"Centurion Mk. 1";"센츄리온 Mk.I";"Centurion Mk.I";"Centurion Mk.I";"百\t夫\t長 Mk 1";"“百\t夫\t长” Mk.1";"Centurion Mk.I";;
"loading_bg/login_bkg_1_67_nolayers_us";"T14 and B-10B";"T14";"T14";"T14";"T14";"T14";"T14";"T14";"T14";"T14 突\t击\t坦\t克";"T14";"T14";"T14";"T14";"T14";"T14";"T14";"T14";"T14";"T14";"T14";;
"loading_bg/login_bkg_1_67_nolayers_ger";"Ru 251 and Ju 87 B-2";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";"Ru 251";;
"loading_bg/login_layer_static_art_destroer_sumner_wide";"USS Allan M. Sumner (DD-692) and F4U-4B Corsair";"Sumner (DD-692)";"Sumner (DD-692)";"USS Allen M. Sumner (DD-692)";"Sumner (DD-692)";"Sumner (DD-692)";"Sumner (DD-692)";"Sumner (DD-692)";"Sumner (DD-692)";"萨\t姆\t纳\t号\t驱\t逐\t舰";"サムナー(DD-692)";"Sumner (DD-692)";"Sumner (DD-692)";"Sumner (DD-692)";"Sumner (DD-692)";"섬너 (DD-692)";"Sumner (DD-692)";"Sumner (DD-692)";"桑\t拿 (DD-692)";"“艾\t伦·M·萨\t姆\t纳”\t号\t驱\t逐\t舰";"Sumner (DD-692)";;
"loading_bg/login_layer_dyn_1_81_ussr";"T-80B (AVAGA), BMP-2D, and Mi-24V";"T-80B";"T-80B";"T-80B";"T-80B";"Т-80Б";"T-80B";"T-80B";"T-80B";"T-80B";"T-80B";"T-80B";"Т-80Б";"T-80B";"T-80B";"T-80B";"Т-80Б";"T-80B";"T-80B";"T-80B";"T-80B";;
"loading_bg/login_layer_mig19pt";"MiG-19PT";"MiG-19";"MiG-19";"MiG-19";"MiG-19";"МиГ-19";"MiG-19";"MiG-19";"MiG-19";"米\t格\t-19";"MiG-19";"MiG-19";"МіГ-19";"MiG-19";"MiG-19";"MiG-19";"МіГ-19";"MiG-19";"米\t格\t-19";"米\t格\t-19";"MiG-19";;
"loading_bg/login_layer_a179";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 艾\t布\t拉\t姆\t斯";"M1 エイブラムス";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 Abrams";"M1 에이브람스";"M1 Abrams";"M1 Abrams";"M1 艾\t布\t蘭";"M1\t“艾\t布\t拉\t姆\t斯”";"M1 Abrams";;
"loading_bg/login_keyart_f_100d";"F-100D-66-NA";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D";"F-100D 超\t級\t軍\t刀";"F-100D\t“超\t级\t佩\t刀\t“";"F-100D";;
"loading_bg/login_layer_1_87_t2";"T-2 (late)";"T-2(K)";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";"T-2";;
"loading_bg/login_layer_art_ukdest";"British Naval Forces";"Forces Navales britanniques";"Forze Navali Britanniche";"Britische Seestreikräfte";"Fuerzas Navales Británicas";"Флот Британии";"Flota brytyjska";"Britské námořnictvo";"Britanya Deniz Kuvvetleri";"英\t国\t海\t军";"イギリスの\t艦艇";"Forças Navais Britânicas";"Флот Британії";"British Naval Forces";"Brit haditengerészet";"영국 해군";"Флот Брытаніі";"British Naval Forces";"英\t國\t海\t軍";"E\t系\t海\t军";"Hải Quân Anh";;
"loading_bg/login_layer_187";"AH-1F Cobra, M1 Abrams, and M247 Sergeant York";"AH-1S";"AH-1F";"AH-1F";"AH-1S";"AH-1F";"AH-1S";"AH-1F";"AH-1F";"AH-1F";"AH-1S";"AH-1S";"AH-1F";"AH-1S";"AH-1F";"AH-1S";"AH-1F";"AH-1S";"AH-1S";"AH-1S";"AH-1F";;
"loading_bg/login_layer_it_cent";"Centauro (preserie)";"Centauro";"B1 Centauro";"Centauro";"Centauro";"Centauro";"Centauro";"Centauro";"Centauro";"半\t人\t马";"チェンタウロ";"Centauro";"Centauro";"Centauro";"Centauro";"센타우로";"Centauro";"Centauro";"半\t人\t馬";"“半\t人\t马”";"Centauro";;
"loading_bg/login_layer_it_gg";"G.91 R/1 and ▄ F-84G-21-RE";"G.91 R/1";"FIAT G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91 R/1";"G.91R/1";"G.91R/1";"G.91 R/1";;
"loading_bg/login_layer_mig21";"MiG-21F-13";"MiG-21";"MiG-21";"MiG-21";"MiG-21";"МиГ-21";"MiG-21";"MiG-21";"MiG-21";"米\t格\t-21";"MiG-21";"MiG-21";"МіГ-21";"MiG-21";"MiG-21";"MiG-21";"МіГ-21";"MiG-21";"米\t格\t-21";"米\t格\t-21";"MiG-21";;
"loading_bg/login_layer_yugumo";"IJN Furutaka and IJN Yugumo";"Furutaka et Yūgumo";"Furutaka e Yugumo";"Furutaka und Yūgumo";"Yugumo";"IJN Furutaka и IJN Yugumo";"Yūgumo";"IJN Júgumo";"IJN Furutaka and IJN Yugumo";"古\t鹰\t与\t夕\t云";"夕雲型駆逐艦";"MIJ Furutaka e MIJ Yugumo";"IJN Furutaka та IJN Yugumo";"IJN Yugumo";"IJN Furutaka és IJN Yugumo";"IJN 유구모";"IJN Furutaka и IJN Yugumo";"IJN Yugumo";"IJN 夕\t雲";"“梧”\t号\t驱\t逐\t舰";"IJN Furutaka và IJN Yugumo";;
"loading_bg/login_layer_ah1";"▅ AH-1S Cobra (FMC)";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";"AH-1S";;
"loading_bg/login_layer_uk_lynx";"British Ground Forces";"Forces Terrestres britanniques";"Forze Corazzate Britanniche";"Britische Landstreitkräfte";"Fuerzas Terrestres Británicas";"Бронетехника Британии";"Brytyjskie wojska lądowe";"Britské pozemní síly";"Britanya Kara Kuvvetleri";"英\t国\t陆\t军";"イギリスの\t地上車両";"Forças Terrestres Britânicas";"Бронетехніка Британії";"British Ground Forces";"Brit szárazföldi erők";"영국 지상군";"Брытанскія сухапутныя войскі";"British Ground Forces";"英\t國\t陸\t軍";"E\t系\t陆\t军";"Lục quân Anh Quốc";;
"loading_bg/login_layer_leopard_2a4";"Leopard 2 A4 and TAM";"Leopard 2A4";"Leopard 2A4";"Leopard 2A4";"Leopard 2A4";"Leopard 2A4";"Leopard 2A4";"Leopard 2A4";"Leopard 2A4";"豹 2A4";"レオパルト 2A4";"Leopard 2A4";"Leopard 2A4";"Leopard 2A4";"Leopard 2A4";"레오파르트 2A4";"Leopard 2A4";"Leopard 2A4";"豹\t2A4";" ""\t豹\t"" 2A4";"Leopard 2A4";;
"loading_bg/login_layer_1_75";"French Ground Forces";"Forces Terrestres françaises";"Forze Corazzate Francesi";"Französische Landstreitkräfte";"Fuerzas Terrestres Francesas";"Бронетехника Франции";"Francuskie wojska lądowe";"Francouzské pozemní síly";"Fransız Kara Kuvvetleri";"法\t国\t陆\t军";"フランスの\t地上車両";"Forças Terrestres Francesas";"Бронетехніка Франції";"French Ground Forces";"Francia szárazföldi erők";"프랑스 지상군";"Франузскія сухапутныя войскі ";"French Ground Forces";"法\t國\t陸\t軍";"F 系\t陆\t军";"Lục quân Pháp";;
"loading_bg/login_layer_b1_bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";"B1 bis";;
"loading_bg/login_layer_us_1_77";"M1 Abrams, Challenger 1, Mk. 2, and AMX 30B2 BRENUS ""Advancing Storm""";"M1 Abrams ""Advancing Storm""";"M1 Abrams ""Advancing Storm""";"M1 Abrams ""Advancing Storm""";"M1 Abrams ""Advancing Storm""";"M1 Abrams ""Буря""";"M1 Abrams „Advancing Storm”";"M1 Abrams ""Advancing Storm""";"M1 Abrams ""Advancing Storm""";"M1 艾\t布\t拉\t姆\t斯 “风\t暴\t来\t临”";"M1 エイブラムス「アドバンシング・ストーム（Advancing Storm）」";"M1 Abrams ""Advancing Storm""";"M1 Abrams ""Буря""";"M1 Abrams ""Advancing Storm""";"M1 Abrams ""Vihar""";"M1 에이브람스 ""어드밴싱 스톰""";"M1 Abrams ""Надыходзячы шторм""";"M1 Abrams ""Advancing Storm""";"M1 艾\t布\t蘭 —\t—\t“風\t暴\t來\t臨”";"M1 艾\t布\t拉\t姆\t斯\t“前\t进\t风\t暴”";"M1 Abrams ""Advancing Storm""";;
"loading_bg/login_layer_bo_105";"PAH 1 A1";"BO-105";"BO-105";"BO-105";"BO-105";"BO-105";"BO-105";"BO-105";"BO-105";"Bo 105";"BO-105";"BO-105";"BO-105";"BO-105";"BO 105";"BO 105";"BO-105";"BO-105";"PAH-1";"BO-105";"BO-105";;
"loading_bg/login_layer_jp_1_65";"Japanese Ground Forces";"Forces Terrestres japonaises";"Forze Corazzate Giapponesi";"Japanische Landstreitkräfte";"Fuerzas Terrestres Japonesas";"Бронетехника Японии";"Japońskie wojska lądowe";"Japonské pozemní síly";"Japon Kara Kuvvetleri";"日\t本\t陆\t军";"日本の\t地上車両";"Forças Terrestres Japonesas";"Бронетехніка Японії";"Japanese Ground Forces";"Japán szárazföldi erők";"일본 지상군";"Японскія сухапутныя войскі ";"Japanese Ground Forces";"日\t本\t陸\t軍";"R 系\t陆\t军";"Lục quân Nhật Bản";;
"loading_bg/login_layer_fr_amx";"AMX 40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX 40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX-40";"AMX 40";"AMX-40";"AMX-40";;
"loading_bg/login_layer_fr_1_73";"D.510 and N.C.223.3";"Aviation Française (D.510)";"D.510";"Französisches Flugzeug (D.510)";"Aeronave Francesa (D.510)";"Авиация Франции (D.510)";"Samolot francuski (D.510)";"Francouzský letoun (D.510)";"Fransız Uçağı (D.510)";"法\t国\t空\t军 - D.510";"フランスの\t航空機（D.510）";"Aeronave Francesa (D.510)";"Авіація Франції (D.510)";"French Aircraft (D.510)";"Francia repülőgép (D.510)";"프랑스 항공기 (D.510)";"Авіяцыя Францыі (D.510)";"French Aircraft (D.510)";"法\t國\t空\t軍\t（D.510）";"F\t系\t飞\t机\t（D.510）";"Máy bay Pháp (D.510)";;
