"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"armor_class/RHA_is_3";"Rolled homogeneous armor";"Blindage homogène laminé";"Corazza omogenea laminata";"Gewalzter Panzerstahl (RHA)";"Blindaje homogéneo laminado";"Катаная гомогенная броня";"Pancerz jednorodny walcowany";"válcovaný homogenní pancíř";"Haddelenmiş homojen zırh";"轧\t制\t均\t质\t装\t甲";"均質圧延鋼装甲";"Blindagem homogénea laminada";"Катана гомогенна броня";"Valjani homogeni oklop";"Hengerelt homogén páncél";"균질압연장갑";"Качаная гамагенная браня";"Blindaj laminat omogen";"軋\t製\t均\t質\t裝\t甲";"轧\t制\t均\t质\t装\t甲";"Giáp cán đồng nhất";;
"armor_class/RHAHH_tank";"High hardness rolled armor";"Blindage laminé à grande dureté";"Corazza ad elevata durezza";"Gehärteter Panzerstahl (HHA)";"Blindaje laminado de gran dureza";"Катаная броня высокой твёрдости";"Pancerz walcowany o dużej twardości";"vysoce tvrzený válcovaný pancíř";"Haddelenmiş yüksek sertlikte zırh";"高\t硬\t度\t装\t甲";"高硬度延鋼装甲";"Armadura laminada de elevada dureza";"Катана броня високої твердості";"Tvrdi uvaljani oklop";"Nagy keménységű hengerelt páncél";"고경도압연장갑";"Качаная браня высокай цвёрдасці";"Blindaj laminat de înaltă duritate";"高\t硬\t度\t装\t甲";"高\t硬\t度\t装\t甲";"Giáp cán độ cứng cao";;
"armor_class/fireproof_composite";"Fireproof container";"Protection anti-feu ";"Paratia Tagliafuoco";"Feuerfester Container ";"Contenedor ignífugo";"Огнеупорный контейнер";"Przedział ognioodporny";"Požárně odolný kontejner";"Ateşe dayanıklı konteyner";"防\t火\t容\t器";"耐火\tコンテナ";"Proteção antichamas";"Вогнетривкий контейнер";"Vatrootporni kontejner";"Tűzálló tartály";"내화성 용기";"Вогнеўстойлівы кантэйнер";"Fireproof container";"防\t火\t隔\t艙";"防\t火\t装\t置";"thùng chống cháy";;
"armor_class/aluminum_armor_AMS_4050A";"AMS 4050A <color=#ff6f00>AL-Al</color>";"Alliage d’aluminium AMS 4050A";"Lega di alluminio AMS 4050A";"Aluminiumlegierung AMS 4050A";"Aleación de aluminio AMS 4050A";"Алюминиевый сплав AMS 4050A";"Stop aluminium AMS 4050A";"slitina hliníku AMS 4050A";"Alüminyum alaşım AMS 4050A";"AMS 4050A 铝\t合\t金";"アルミニウム\t合金 AMS 4050A";"Liga de Alumínio AMS 4050A";"Алюмінієвий сплав AMS 4050A";"Legura Aluminijuma AMS 4050A";"AMS 4050A alumíniumötvözet";"알루미늄 합금 AMS 4050A ";"Алюмініевы сплаў AMS 4050A";"Aliaj de aluminiu AMS 4050A";"AMS 4050A 铝\t合\t金";"AMS 4050A 铝\t合\t金";"hợp kim nhôm AMS 4050A";;
"armor_class/aluminum_armor_7039";"AA 7039 <color=#ff6f00>AL-Al</color>";"Alliage d'aluminium 7039";"Lega di alluminio 7039";"Aluminium-Legierung 7039";"Aleación de aluminio 7039";"Алюминиевый сплав 7039";"Stop aluminium 7039";"slitina hliníku 7039";"Alüminyum alaşım 7039";"7039 铝\t合\t金";"アルミニウム\t合金\t7039";"Liga de Alumínio 7039";"Алюмінієвий сплав 7039";"Legura Aluminijuma 7039";"7039-es alumíniumötvözet";"알루미늄 합금 7039";"Алюмініевы сплаў 7039";"Aliaj de aluminiu 7039";"7039 鋁\t合\t金";"7039 铝\t合\t金";"Hợp kim nhôm 7039";;
"armor_class/aluminum_armor_7020";"AA 7020 <color=#ff6f00>AL-Al</color>";"Alliage d'aluminium 7020";"Lega di alluminio 7020";"Aluminium-Legierung 7020";"Aleación de aluminio 7020";"Алюминиевый сплав 7020";"Stop aluminium 7020";"slitina hliníku 7020";"Alüminyum alaşım 7020";"7020 铝\t合\t金";"アルミニウム\t合金\t7020";"Liga de alumínio 7020";"Алюмінієвий сплав 7020";"Legura Aluminijuma 7020";"7020-as alumíniumötvözet";"알루미늄 합금 7020";"Алюмініевы сплаў 7020";"Aluminium alloy 7020";"7020 鋁\t合\t金";"7020\t铝\t合\t金";"Hợp kim nhôm 7020";;
"armor_class/aluminum_armor_5083";"AA 5083 <color=#ff6f00>AL-Al</color>";"Alliage d'aluminium 5083";"Lega di alluminio 5083";"Aluminium-Legierung 5083";"Aleación de aluminio 5083";"Алюминиевый сплав 5083";"Stop aluminium 5083";"slitina hliníku 5083";"Alüminyum alaşım 5083";"5083 铝\t合\t金";"アルミニウム\t合金\t5083";"Liga Alumínio 5083";"Алюмінієвий сплав 5083";"Legura Aluminijuma 5083";"5083-as alumíniumötvözet";"알루미늄 합금 5083";"Алюмініевы сплаў 5083";"Aliaj de aluminiu 5093";"5083 鋁\t合\t金";"5083\t铝\t合\t金";"Hợp kim nhôm 5083";;
"armor_class/aluminum_armor_AA_7017";"AA 7017 <color=#ff6f00>AL-Al</color>";"Alliage d'aluminium AA7017";"Lega di alluminio AA7017";"Aluminium-Legierung AA7017";"Aleación de aluminio AA7017";"Алюминиевый сплав AA7017";"Stop aluminium AA7017";"slitina hliníku AA7017";"Alüminyum alaşım AA7017";"AA7017 铝\t合\t金";"アルミニウム\t合金\tAA7017";"Liga de Alumínio AA7017";"Алюмінієвий сплав AA7017";"Legura Aluminijuma AA7017";"AA7017 alumíniumötvözet";"알루미늄 합금 AA7017";"Алюмініевы сплаў AA7017";"Aliaj de aluminiu AA7017";"AA7017 鋁\t合\t金";"AA7017 铝\t合\t金";"Hợp kim nhôm AA7017";;
"armor_class/RHAHH_tank_modern";"High hardness rolled armor";"Blindage laminé à grande résistance";"Corazza ad elevata durezza";"Gehärteter Panzerstahl (HHA)";"Blindaje laminado de alta dureza";"Катаная броня высокой твёрдости";"Pancerz walcowany o dużej twardości";"vysoce tvrzený válcovaný pancíř";"Haddelenmiş yüksek sertlikte zırh";"高\t硬\t度\t装\t甲\t（战\t后）";"高硬度延鋼装甲";"Armadura laminada de elevada dureza";"Катана броня високої твердості";"Tvrdi uvaljani oklop";"Nagy keménységű hengerelt páncél";"고경도압연장갑";"Катаная браня высокай цвёрдасці";"Blindaj rulat cu duritate înaltă";"高\t硬\t度\t裝\t甲\t（戰\t後）";"高\t硬\t度\t轧\t制\t装\t甲";"Giáp cán độ cứng cao";;
"armor_class/t_80b_composite_armor";"Quartz core";"Noyau de quartz";"Nucleo di quarzo";"Quarzkern";"Núcleo de cuarzo";"Кварцевый стержень";"Rdzeń kwarcowy";"křišťálové jádro";"Kuvars çekirdek";"石\t英\t夹\t层";"クォーツコア";"Núcleo de quartzo";"Кварцовий стрижень";"Kvarcno jezgro";"Kvarcmag";"쿼츠 코어";"Кварцавы стрыжань";"Miez de cuarț";"石\t英\t夾\t層";"石\t棉\t内\t衬";"Lõi thạch anh";;
"armor_class/t_80u_turret_composite_armor";"Cellular armor";"Blindage cellulaire";"Corazza Cellulare";"Zellulare Rüstung";"Blindaje celular";"Ячеистый наполнитель";"Pancerz komorowy";"plástvový pancíř";"Gözenekli zırh";"蜂\t窝\t装\t甲";"区画式装甲";"Blindagem celular";"Комірчастий наповнювач";"Ćelijski oklop";"Sejtszerkezetű páncélzat";"셀룰러 장갑";"Ячэісты напаўняльнік";"Armură celulară";"隔\t間\t裝\t甲";"间\t隙\t装\t甲";"Giáp lõi xốp";;
"armor_class/mexas_2";"MEXAS 2 <color=#ff6f00>CMP</color>";"MEXAS 2";"MEXAS 2";"MEXAS 2";"MEXAS 2";"MEXAS 2";"Pancerz modularny MEXAS 2";"MEXAS 2";"MEXAS 2";"模\t块\t化\t可\t扩\t展\t装\t甲\t系\t统 2 型\t（MEXAS 2）";"MEXAS 2";"MEXAS 2";"MEXAS 2";"MEXAS 2";"MEXAS 2";"MEXAS 2";"MEXAS 2";"MEXAS 2";"MEXAS 2 外\t掛\t裝\t甲";"MEXAS 2\t模\t块\t化\t陶\t瓷\t复\t合\t装\t甲";"MEXAS 2";;
"armor_class/mexas_2c";"MEXAS 2C <color=#ff6f00>CMP</color>";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"Pancerz modularny MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"模\t块\t化\t可\t扩\t展\t装\t甲\t系\t统 2C 型\t（MEXAS 2C）";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C";"MEXAS 2C 外\t掛\t裝\t甲";"MEXAS 2C\t模\t块\t化\t陶\t瓷\t复\t合\t装\t甲";"MEXAS 2C";;
"armor_class/t_72b_turrert_composite_armor";"Combined armor with reflective plates";"Blindage multicouche avec plaques réflectives";"Corazza composta con piastre riflettive";"Verbundpanzerung mit Reflektierplatten";"Blindaje combinado con placas reflexivas";"Комбинированная броня с отражающими листами";"Pancerz kompozytowy z płytkami rozpraszającymi";"kombinovaný pancíř s reaktivními pláty";"Yansıtıcı plakalı kompozit zırh";"复\t合\t装\t甲\t（反\t射\t板\t夹\t层）";"反射鋼板付加複合装甲";"Blindagem multicamada com placas reflexivas";"Комбінована броня з відбиваючими листами";"Combined armor with reflective plates";"Kombinált páncél reflektív lemezekkel";"반사판 적층 복합재";"Камбінаваная браня з адбівалымі лістамі";"Combined armor with reflective plates";"複\t合\t裝\t甲\t（平\t行\t板\t夾\t層）";"复\t合\t装\t甲";"Giáp kết hợp với tấm phản xạ";;
"armor_class/ABT-101";"ABT-101 <color=#ff6f00>AL-Al</color>";"Alliage ABT-101";"Lega ABT-101";"Legierung ABT-101";"Aleación ABT-101";"Сплав АБТ-101";"Stop ABT-101";"slitina ABT-101";"Alaşım ABT-101";"ABT-101 合\t金";"合金 ABT-101";"Liga ABT-101";"Сплав АБТ-101";"Legura ABT-101";"ABT-101 alumíniumötvözet";"ABT-101 합금";"Сплаў АБТ-101";"Aliaj ABT-101";"ABT-101 合\t金";"ABT-101 合\t金";"Hợp kim ABT-101";;
"armor_class/abt_102";"ABT-102 <color=#ff6f00>AL-Al</color>";"Alliage ABT-102";"Lega ABT-102";"Legierung ABT-102";"Aleación ABT-102";"Сплав АБТ-102";"Stop ABT-102";"slitina ABT-102";"Alaşım ABT-102";"ABT-102 合\t金";"合金 ABT-102";"Liga ABT-102";"Сплав АБТ-102";"Alloy ABT-102";"ABT-102 alumíniumötvözet";"ABT-102 합금";"Сплаў АБТ-102";"Alloy ABT-102";"ABT-102 合\t金";"ABT-102\t铝\t合\t金";"Hợp kim ABT-102";;
"armor_class/aluminum_alloy_armor";"Aluminium alloy";"Alliage d'aluminium";"Lega di alluminio";"Aluminium-Legierung";"Aleación de aluminio";"Алюминиевый сплав";"Stop aluminium";"slitina hliníku";"Alüminyum alaşım";"铝\t合\t金";"アルミニウム\t合金";"Liga de alumínio";"Алюмінієвий сплав";"Aluminium alloy";"Aluminium alloy";"알루미늄 합금";"Алюминиевый сплав";"Aluminium alloy";"鋁\t合\t金";"Aluminium alloy";"Hợp kim nhôm";;
"armor_class/titanium_alloy_vt6";"BT-6 <color=#ff6f00>AL-Ti</color>";"Alliage BT-6";"Lega BT-6";"Legierung BT-6";"Aleación BT-6";"Сплав ВТ-6";"Stop BT-6";"slitina BT-6";"Alaşım BT-6";"VT-6 合\t金";"合金\tBT-6";"Liga ABT-6";"Сплав ВТ-6";"Alloy BT-6";"BT-6 titánötvözet";"BT-6 합금";"Сплаў БТ-6";"Aliaj BT-6";"BT-6 合\t金";"BT-6\t合\t金";"Hợp kim BT-6";;
"armor_class/titanium_alloy_tank";"Titanium Alloy";"Alliage de titane ";"Lega di Titanio";"Titanlegierung";"Aleación de Titanio";"Титановый сплав";"Stop tytanu";"Slitina titanu";"Titanyum alaşımı";"钛\t合\t金";"チタン\t合金";"Liga de titânio";"Титановий сплав";"Titanium Alloy";"Titán ötvözet";"티타늄 합금";"Тытанавы сплаў";"Titanium Alloy";"鈦\t合\t金";"Titanium Alloy";"Hợp kim Titan";;
"armor_class/tank_structural_steel";"Structural steel";"Acier de construction";"Acciaio strutturale";"Baustahl";"Acero estructural";"Конструкционная сталь";"Stal konstrukcyjna";"konstrukční ocel";"Yapısal çelik";"结\t构\t钢";"構造用鋼";"Aço estrutural";"Конструкційна сталь";"Čelične konstrukcije";"Szerkezeti acél";"구조용강";"Канструкцыйная сталь";"Oțel structural";"結\t構\t鋼";"结\t构\t钢";"Kết cấu thép";;
"armor_class/grille_structural_steel";"Structural steel";"Acier structurel";"Acciaio strutturale";"Baustahl";"Acero estructural";"Конструкционная сталь";"Stal konstrukcyjna";"konstrukční ocel";"Yapısal çelik";"结\t构\t钢";"構造用鋼";"Aço estrutual ";"Конструкційна сталь";"Čelične konstrukcije";"Szerkezeti acél";"구조용강";"Канструкцыйная сталь";"Structural steel";"結\t構\t鋼";"结\t构\t钢";"Kết cấu thép";;
"armor_class/aluminium";"Aluminium";"Aluminium";"Alluminio";"Aluminium";"Aluminio";"Алюминий";"Aluminium";"hliník";"Alüminyum";"铝\t合\t金";"アルミニウム";"Alumínio";"Алюміній";"Aluminijum";"Alumínium";"알루미늄";"Алюміній";"Aluminiu";"鋁\t合\t金";"铝\t合\t金";"Nhôm";;
"armor_class/tanks_fuel_tank";"Structural steel";"Acier de construction";"Acciaio strutturale";"Baustahl";"Acero estructural";"Конструкционная сталь";"Stal konstrukcyjna";"konstrukční ocel";"Yapısal çelik";"结\t构\t钢";"構造用鋼";"Aço estrutural";"Конструкційна сталь";"Čelične konstrukcije";"Szerkezeti acél";"구조용강";"Канструкцыйная сталь";"Oțel structural";"結\t構\t鋼";"结\t构\t钢";"Kết cấu thép";;
"armor_class/ship_structural_steel";"Structural steel";"Acier de construction";"Acciaio strutturale";"Baustahl";"Acero estructural";"Конструкционная сталь";"Stal konstrukcyjna";"konstrukční ocel";"Yapısal çelik";"结\t构\t钢";"構造用鋼";"Aço estrutural";"Конструкційна сталь";"Strukturni čelik";"Szerkezeti acél";"구조용강";"Канструкцыйная сталь";"Oțel structural";"結\t構\t鋼";"结\t构\t钢";"Kết cấu thép";;
"armor_class/ship_STS";"Antifragmentation armor";"Blindage anti-fragmentation";"Corazza antiframmentazione";"Splitterschutzpanzerung";"Blindaje antifragmentación";"Противоосколочная броня";"Pancerz przeciwodłamkowy";"protistřepinový pancíř";"Parça tesirli mühimmata karşı zırh";"防\t破\t片\t装\t甲";"断片防御装甲";"Blindagem anti-fragmentação";"Протиосколкова броня";"Antifragmentacioni oklop";"Repeszpáncél";"대파편장갑";"Супрацьаскепкавая браня";"Blindaj antifragmentare";"防\t破\t片\t裝\t甲";"防\t崩\t落\t装\t甲";"Giáp chống phân mảnh";;
"armor_class/ship_Wsh";"Hardened armor";"Blindage renforcé";"Corazza Indurita";"Gehärtete Panzerung";"Blindaje endurecido";"Противопульная броня";"Pancerz utwardzany";"tvrzený pancíř";"Sertleştirilmiş zırh";"硬\t化\t装\t甲";"硬化装甲";"Blindagem reforçada";"Противокульова броня";"Očvrsli oklop";"Keményített páncél";"경화장갑";"Загартаваная браня";"Blindaj întărit";"硬\t化\t装\t甲";"强\t化\t装\t甲";"Giáp cứng";;
"armor_class/ship_RHA";"Rolled homogeneous armor";"Blindage homogène laminé";"Corazza omogenea laminata";"Gewalzter Panzerstahl (RHA)";"Blindaje laminado homogéneo";"Катаная гомогенная броня";"Pancerz jednorodny walcowany";"válcovaný homogenní pancíř";"Haddelenmiş homojen zırh";"轧\t制\t均\t质\t装\t甲";"均質圧延鋼装甲";"Armadura homogênea enrolada";"Катана гомогенна броня";"Valjani homogeni oklop";"Hengerelt homogén páncél";"균질압연장갑";"Катаная гамагенная браня";"Blindaj omogen laminat";"軋\t製\t均\t質\t裝\t甲";"轧\t制\t均\t质\t装\t甲";"Giáp cán đồng nhất";;
"armor_class/ship_RGA";"Rolled cemented armor";"Blindage cimenté laminé";"Corazza cementata Laminata";"Oberflächengehärtete Panzerung";"Blindaje cementado laminado";"Катаная цементированная броня";"Pancerz ze stali Kruppa";"válcovaný cementový pancíř";"Haddelenmiş kaynatılmış zırh";"表\t面\t渗\t碳\t硬\t化\t轧\t制\t装\t甲";"圧延硬化装甲";"Armadura cimentada laminada";"Катана цементована броня";"Valjani cementirani oklop";"Hengerelt tömörített páncél";"압연경화장갑";"Катаная цэментаваная браня";"Blindaj cimentat laminat";"碳\t硬\t化\t裝\t甲";"轧\t制\t渗\t碳\t装\t甲";"Giáp cán xi măng";;
"armor_class/ships_oil_fuel_tank";"Structural steel";"Acier de construction";"Acciaio strutturale";"Baustahl";"Acero estructural";"Конструкционная сталь";"Stal konstrukcyjna";"konstrukční ocel";"Yapısal çelik";"结\t构\t钢";"構造用鋼";"Aço estrutural";"Конструкційна сталь";"Čelične konstrukcije";"Szerkezeti acél";"구조용강";"Канструкцыйная сталь";"Structural steel";"結\t構\t鋼";"结\t构\t钢";"Kết cấu thép";;
"armor_class/steel/short";"Steel";"Acier";"Acciaio";"Stahl";"Acero";"Сталь";"Stal";"Ocel";"Çelik";"钢";"鋼";"Aço";"Сталь";"Čelik";"Acél";"강철";"Сталь";"Oțel";"鋼";"钢";"Thép";;
"armor_class/tank_barrel";"Gun steel";"Acier de canon";"Canna";"Geschützstahl";"Acero de cañon";"Орудийная сталь";"Stal armatnia";"hlavňová ocel";"Silah çeliği";"炮\t钢";"砲身";"Aço da arma";"Гарматна сталь";"Čelični top";"Fegyveracél";"포신강";"Гарматная сталь";"Tun de oțel";"炮\t鋼";"炮\t钢";"Thép súng";;
"armor_class/ship_wood";"Wood";"Bois";"Legno";"Holz";"Madera";"Дерево";"Drewno";"dřevo";"Ahşap";"木\t料";"木材";"Madeira";"Дерево";"Drvo";"Fa";"목재";"Дрэва";"Lemn";"木\t材";"木\t料";"Gỗ";;
"armor_class/concrete";"Concrete";"Béton";"Cemento";"Beton";"Hormigón";"Бетон";"Beton";"beton";"Beton";"混\t凝\t土";"コンクリート";"Betão/Concreto";"Бетон";"Beton";"Beton";"콘크리트";"Бетон";"Beton";"混\t凝\t土";"混\t凝\t土";"Bê tông";;
"armor_class/us_era_m_60";"ERA";"ERA";"Corazza Reattiva";"Reaktivpanzerung";"ERA";"ДЗ";"ERA";"výbušný reaktivní pancíř";"ERA";"爆\t炸\t反\t应\t装\t甲";"爆発反応装甲";"ERA";"Динамічний захист";"ERA";"Robbanó reaktív páncél";"활성반응장갑";"ДА";"Armură reactivă explozivă (ARE)";"爆\t炸\t反\t應\t裝\t甲";"爆\t炸\t反\t应\t装\t甲";"ERA";;
"armor_class/ERA_ARAT";"M19 Abrams Reactive Armor Tile <color=#ff6f00>CMERAP</color>";"Blindage réactif ARAT";"ERA ARAT";"ARAT ERA";"ARAT ERA";"Динамическая защита ARAT";"ERA ARAT";"ARAT ERA";"ARAT ERA";"艾\t布\t拉\t姆\t斯\t反\t应\t装\t甲\t块 (ARAT)";"ARAT\t爆発反応装甲";"ARAT ERA";"Динамічний захист ARAT";"ARAT ERA";"ARAT ERA";"ARAT 활성반응장갑";"Дынамічная абарона ARAT";"ARAT ERA";"ARAT (艾\t布\t蘭\t反\t應\t裝\t甲\t塊)";"ARAT ERA";"ARAT ERA";;
"armor_class/ERA_ARAT_2";"M32 Abrams Reactive Armor Tile 2 <color=#ff6f00>ERA</color>";"Blindage réactif ARAT 2";"ERA ARAT 2";"ARAT 2 ERA";"ARAT 2 ERA";"Динамическая защита ARAT 2";"ERA ARAT 2";"ARAT 2 ERA";"ARAT 2 ERA";"艾\t布\t拉\t姆\t斯\t反\t应\t装\t甲\t块 (ARAT) II 型";"ARAT2 爆発反応装甲";"ARAT 2 ERA";"Динамічний захист ARAT 2";"ARAT 2 ERA";"ARAT 2 ERA";"ARAT 2 활성반응장갑";"Динамическая защита ARAT 2";"ARAT 2 ERA";"艾\t布\t蘭\t反\t應\t裝\t甲\t塊 (ARAT) II 型";"ARAT 2 ERA";"ERA ARAT 2";;
"armor_class/ERA_AZUR";"AZUR <color=#ff6f00>ERA</color>";"ERA AZUR";"ERA AZUR";"AZUR ERA";"AZUR ERA";"Динамическая защита AZUR";"ERA AZUR";"AZUR ERA";"AZUR ERA";"AZUR (城\t市\t作\t战\t套\t件) 爆\t炸\t反\t应\t装\t甲";"AZUR ERA";"AZUR ERA";"ДЗ AZUR";"AZUR ERA";"AZUR ERA";"AZUR 활성반응장갑";"ДЗ AZUR ";"AZUR ERA";"AZUR (城\t市\t作\t戰\t套\t件) 爆\t炸\t反\t應\t裝\t甲";"AZUR ERA";"ERA AZUR";;
"armor_class/uk_era_romor_a";"ROMOR-A <color=#ff6f00>ERA</color>";"ERA «ROMOR-A»";"Corazza «ROMOR-A»";"Explosive Reaktivpanzerung «ROMOR-A»";"ERA «ROMOR-A»";"Динамическая защита ""ROMOR-A""";"Pancerz reaktywny «ROMOR-A»";"výbušný reaktivní pancíř 'ROMOR-A'";"""ROMOR-A"" ERA";"ROMOR-A 爆\t炸\t反\t应\t装\t甲";"«ロウマー»爆発反応装甲";"""ROMOR-A"" ERA";"Вибухобезпечна реактивна броня ""ROMOR-A""";"""ROMOR-A"" ERA";"ROMOR-A robbanó reaktív páncél";"""ROMOR-A"" 활성반응장갑";"Дынамічная абарона ""ROMOR-A""";"„ROMOR-A” ARE";"""ROMOR-A"" 爆\t炸\t反\t應\t裝\t甲";"""ROMOR-A"" 爆\t炸\t反\t应\t装\t甲";"""ROMOR-A"" ERA";;
"armor_class/cn_era_type_59d_turret";"FY-2";"ERA";"Corazza Reattiva";"Reaktivpanzerung";"ERA";"ДЗ";"ERA";"výbušný reaktivní pancíř";"ERA";"爆\t炸\t反\t应\t装\t甲";"爆発反応装甲";"ERA";"Динамічний захист";"ERA";"Robbanó reaktív páncél";"활성반응장갑";"ДА";"Armură reactivă explozivă (ARE)";"爆\t炸\t反\t應\t裝\t甲";"爆\t炸\t反\t应\t装\t甲";"ERA";;
