"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"engine_manufacturer/Isotta_Fraschini";"Manufacturer: Isotta Fraschini";"Isotta Fraschini";"Isotta Fraschini";"Isotta Fraschini";"Isotta Fraschini";"Isotta Fraschini";"Isotta Fraschini";"Isotta-Fraschini";"Isotta Fraschini";"伊\t索\t塔·弗\t拉\t斯\t基\t尼";"Isotta Fraschini";"Isotta Fraschini";"Isotta Fraschini";"Isotta Fraschini";"Isotta Fraschini";"이소타 프라스키니";"Isotta Fraschini";"Isotta Fraschini";"伊\t索\t塔\t弗\t拉\t斯\t基\t尼";"伊\t索\t塔·弗\t拉\t斯\t基\t尼";;
"engine_manufacturer/atsuta";"Manufacturer: Atsuta";"Atsuta";"Atsuta";"Atsuta";"Atsuta";"Atsuta";"Atsuta";"Acuta";"Atsuta";"爱\t知";"アツタ";"Atsuta";"Atsuta";"Atsuta";"Atsuta";"아츠타";"Atsuta";"Atsuta";"爱\t知";"爱\t知";;
"engine_manufacturer/snecma";"Manufacturer: SNECMA";"SNECMA";"SNECMA";"SNECMA";"SNECMA";"SNECMA";"SNECMA";"SNECMA";"SNECMA";"斯\t奈\t克\t玛";"SNECMA";"SNECMA";"SNECMA";"SNECMA";"SNECMA";"스네크마";"SNECMA";"SNECMA";"斯\t奈\t克\t瑪";"斯\t奈\t克\t玛";;
"engine_manufacturer/snecma_turbomeca_larzac";"Manufacturer: SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"斯\t奈\t克\t玛\t-\t透\t博\t梅\t卡 拉\t扎\t克";"スネクマ/チュルボメカ ラルザック";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"SNECMA 터보메카 라르작";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";"史\t奈\t克\t瑪\t-\t透\t博\t梅\t卡 拉\t扎\t克";"SNECMA Turbomeca Larzac";"SNECMA Turbomeca Larzac";;
"engine_manufacturer/arsenal";"Manufacturer: Arsenal";"Arsenal";"Arsenal";"Arsenal";"Arsenal";"Arsenal";"Arsenal";"Arsenal";"Arsenal";"航\t空\t兵\t工\t厂";"Arsenal";"Arsenal";"Arsenal";"Arsenal";"Arsenal";"아스널";"Arsenal";"Arsenal";"航\t空\t兵\t工\t廠";"航\t空\t兵\t工\t厂";;
"engine_manufacturer/renault";"Manufacturer: Renault";"Renault";"Renault";"Renault";"Renault";"Renault";"Renault";"Renault";"Renault";"雷\t诺";"ルノー";"Renault";"Рено";"Reno";"Renault";"르노";"Renault";"Renault";"雷\t諾";"雷\t诺";;
"engine_manufacturer/tumansky";"Manufacturer: Tumansky";"Tumansky";"Tumansky";"Tumansky";"Tumansky";"Туманский";"Tumansky";"Tumansky";"Tumansky";"图\t曼\t斯\t基";"Tumansky";"Tumansky";"Tumansky";"Tumansky";"Tumanszkij";"투만스키";"Туманский";"Tumansky";"圖\t曼\t斯\t基";"Tumansky";;
"engine_manufacturer/IAR";"Manufacturer: IAR";"IAR";"IAR";"IAR";"IAR";"IAR";"IAR";"IAR";"IAR";"罗\t马\t尼\t亚\t航\t空\t工\t业";"IAR";"IAR";"IAR";"IAR";"IAR";"IAR";"IAR";"IAR";"羅\t馬\t尼\t亞\t航\t空\t工\t業";"IAR\t航\t空\t工\t业";;
"engine_manufacturer/honeywell";"Manufacturer: Honeywell";"Honeywell";"Honeywell";"Honeywell";"Honeywell";"Honeywell";"Honeywell";"Honeywell";"Honeywell";"霍\t尼\t韦\t尔";"Honeywell";"Honeywell";"Honeywell";"Honeywell";"Honeywell";"허니웰";"Honeywell";"Honeywell";"霍\t尼\t韋\t爾";" 霍\t尼\t韦\t尔";;
"engine_manufacturer/perkins";"Manufacturer: Perkins";"Perkins";"Perkins";"Perkins";"Perkins";"Perkins";"Perkins";"Perkins";"Perkins";"珀\t金\t斯";"Perkins";"Perkins";"Perkins";"Perkins";"Perkins";"퍼킨스";"Perkins";"Perkins";"珀\t金\t斯";"Perkins";;
"engine_manufacturer/mtu";"Manufacturer: MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";"MTU";;
"engine_manufacturer/wartsila";"Manufacturer: Wärtsilä";"Wärtsilä";"Wärtsilä";"Wärtsilä";"Wärtsilä";"Wärtsilä";"Wärtsilä";"Wärtsilä";"Wärtsilä";"瓦\t锡\t兰";"Wärtsilä";"Wärtsilä";"Wärtsilä";"Wärtsilä";"Wärtsilä";"바르질라";"Wärtsilä";"Wärtsilä";"瓦\t錫\t蘭";"Wärtsilä";;
"engine_manufacturer/scania";"Manufacturer: Scania";"Scania";"Scania";"Scania";"Scania";"Scania";"Scania";"Scania";"Scania";"斯\t堪\t尼\t亚";"Scania";"Scania";"Scania";"Scania";"Scania";"스카니아";"Scania";"Scania";"斯\t堪\t尼\t亞";"Scania";;
"engine_manufacturer/turbomeca";"Manufacturer: Turbomeca";"Turbomeca";"Turbomeca";"Turbomeca";"Turbomeca";"Turbomeca";"Turbomeca";"Turbomeca";"Turbomeca";"透\t博\t梅\t卡";"Turbomeca";"Turbomeca";"Turbomeca";"Turbomeca";"Turbomeca";"터보메카";"Turbomeca";"Turbomeca";"透\t博\t梅\t卡";"透\t博\t梅\t卡\t公\t司";;
"engine_manufacturer/turbo_union";"Manufacturer: Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";"涡\t轮\t联\t合";"Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";"터보-유니온";"Turbo-Union";"Turbo-Union";"Turbo-Union";"Turbo-Union";;
"engine_manufacturer/ishikawa-harima";"Manufacturer: Ishikawa-Harima";"Ishikawa-Harima";"Ishikawa-Harima";"Ishikawa-Harima";"Ishikawa-Harima";"Ishikawa-Harima";"Ishikawa-Harima";"Ishikawa-Harima";"Ishikawa-Harima";"石\t川\t岛\t播\t磨\t重\t工\t业";"石川島播磨";"Ishikawa-Harima";"Ishikawa-Harima";"Ishikawa-Harima";"Ishikawajima-Harima";"이시카와-하리마";"Ishikawa-Harima";"Ishikawa-Harima";"石\t川\t島\t播\t磨\t重\t工";"Ishikawa-Harima\t重\t工\t业";;
"engine_manufacturer/bristol_suddeley";"Manufacturer: Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"布\t里\t斯\t托\t尔·西\t德\t利";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"Bristol Siddeley";"브리스톨 시들리";"Bristol Siddeley";"Bristol Siddeley";"布\t里\t斯\t托·西\t德\t利";"布\t里\t斯\t托\t尔·西\t德\t利";;
"engine_manufacturer/mtu_turbomeca_rolls-royce";"Manufacturer: MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU·透\t博\t梅\t卡·罗\t尔\t斯\t-\t罗\t伊\t斯";"MTU Turbomeca ロールスロイス";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU 터보메카 롤스로이스";"MTU Turbomeca Rolls-Royce";"MTU Turbomeca Rolls-Royce";"MTU·蒂\t博\t梅\t卡·羅\t爾\t斯\t-\t羅\t伊\t斯";"MTU Turbomeca Rolls-Royce";;
"engine_manufacturer/shenyang_liming";"Manufacturer: Shenyang Liming";"Shenyang Liming";"Shenyang Liming";"Shenyang Liming";"Shenyang Liming";"Shenyang Liming";"Shenyang Liming";"Šen-jang Liming";"Shenyang Liming";"沈\t阳\t黎\t明\t航\t空\t发\t动\t机";"Shenyang Liming";"Shenyang Liming";"Shenyang Liming";"Shenyang Liming";"Shenyang Liming";"선양 리밍";"Shenyang Liming";"Shenyang Liming";"瀋\t陽\t黎\t明\t航\t空\t發\t動\t機";"黎\t明\t航\t空\t发\t动\t机";;
"engine_manufacturer/zavod_29";"Manufacturer: Zavod №29";"Zavod N°29";"Zavod №29";"Zavod №29";"Zavod №29";"Завод №29";"Zakład nr 29";"Zavod №29";"Zavod №29";"第 29 工\t厂";"Zavod №29";"Zavod №29";"Завод №29";"Zavod №29";"Zavod 29";"자보드 №29";"Завод №29";"Zavod №29";"第 29 工\t廠";"Zavod №\t29\t工\t厂";;
"engine_manufacturer/svenska_flygmotor";"Manufacturer: Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"瑞\t典\t航\t空\t发\t动\t机\t有\t限\t公\t司";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"Svenska Flygmotor";"스벤스카 플리그모터";"Svenska Flygmotor";"Svenska Flygmotor";"瑞\t典\t航\t空\t發\t動\t機\t有\t限\t公\t司";"SW\t航\t空\t发\t动\t机\t有\t限\t公\t司";;
"engine_manufacturer/lhtec";"Manufacturer: LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"轻\t型\t直\t升\t机\t涡\t轮\t发\t动\t机\t公\t司";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"LHTEC";"輕\t型\t直\t升\t機\t渦\t輪\t發\t動\t機\t公\t司";"轻\t型\t直\t升\t机\t涡\t轮\t发\t动\t机\t公\t司";;
